adm1 identifier,report,log10 of population,surveillance quality,temperature suitability index,rainfall delayed by one month,interaction of the temperature suitability index and rainfall delayed by one month,EVI
UGA9,0,5.448511272,2.152947454,8.095211035,3.050431209,23.50007564,0.429400555
ZAF1,0,6.734177296,2.152947454,3.958148274,1.751498668,8.829244183,0.277467543
ZAF10,0,6.581659725,2.152947454,5.034465626,0.990029857,3.288267064,0.219190678
ZAF2,0,6.88539268,2.152947454,3.192851938,1.646281796,7.854449089,0.210449623
ZAF3,0,6.900834193,2.152947454,5.369470994,2.053855894,15.09865997,0.298231302
ZAF4,0,6.634151708,2.152947454,11.16329228,1.383070827,21.79339123,0.25442012
ZAF5,0,6.444915935,2.152947454,5.076457066,1.558531809,11.65991668,0.265407118
ZAF6,0,6.449383448,2.152947454,6.37867591,1.440878768,12.94198933,0.203774521
ZAF7,0,5.86232815,2.152947454,7.653585736,1.043845156,10.07062722,0.138290946
ZAF8,0,6.366441507,2.152947454,3.777242202,1.546602375,8.596052077,0.200517915
ZMB1,0,5.995184465,2.152947454,9.02814891,2.460064612,20.19689158,0.323831739
ZMB2,0,6.148119507,2.152947454,8.619766106,2.806970864,19.73411429,0.296456421
ZMB3,0,6.061721919,2.152947454,9.889860273,2.705510521,25.6989407,0.31319669
ZMB4,0,5.831265315,2.152947454,9.302857663,2.819030679,20.81281369,0.343240019
ZMB5,0,6.059331433,2.152947454,8.212269428,2.194431788,18.58892253,0.271967041
ZMB6,0,5.715026605,2.152947454,8.375959063,3.000826515,21.06630504,0.359592318
ZMB7,0,6.055050074,2.152947454,7.756385453,2.963367893,19.761215,0.332058403
ZMB8,0,6.034394308,2.152947454,9.85317626,2.236278169,22.82674008,0.298354961
ZMB9,0,5.832566275,2.152947454,11.36368919,2.500409978,28.11103896,0.314398906
ZWE1,0,5.771229666,2.152947454,5.686417763,1.604775502,11.52489428,0.272747627
ZWE10,0,6.107009459,2.152947454,8.465427411,1.884002541,19.46290325,0.284774639
ZWE2,0,6.2203327,2.152947454,4.071670445,1.919888252,9.691483444,0.282093505
ZWE3,0,6.135255916,2.152947454,7.391335624,1.755091084,17.08283081,0.300755602
ZWE4,0,5.939644158,2.152947454,10.63592094,1.875795172,22.3837023,0.298447951
ZWE5,0,5.992031179,2.152947454,6.992099954,1.931979511,16.69369918,0.282386888
ZWE6,0,6.028592104,2.152947454,8.249467421,2.056462644,18.48875495,0.300624858
ZWE7,0,6.060659387,2.152947454,9.452127158,1.520023729,19.01826828,0.286575056
ZWE8,0,5.787088314,2.152947454,9.132142885,1.828044014,19.52885614,0.286459897
ZWE9,0,5.75848411,2.152947454,9.085260413,1.428851819,17.42644442,0.253673123
